"fstype","fstypename","fine3","newname","age","age_class","age2","upl_low","broad","broad2","con","con_decid_mixed","decid","fine1","fine2"
"925","Paper birch","ab pole","Aspen/Birch","pole","pole","non-regen","upl","upl decid","upl decid","not conif","decid","decid","ab","ab"
"926","Paper birch","ab pole","Aspen/Birch","pole","pole","non-regen","upl","upl decid","upl decid","not conif","decid","decid","ab","ab"
"927","Paper birch","ab saw","Aspen/Birch","saw","saw","non-regen","upl","upl decid","upl decid","not conif","decid","decid","ab","ab"
"928","Paper birch","ab saw","Aspen/Birch","saw","saw","non-regen","upl","upl decid","upl decid","not conif","decid","decid","ab","ab"
"929","Paper birch","ab saw","Aspen/Birch","saw","saw","non-regen","upl","upl decid","upl decid","not conif","decid","decid","ab","ab"
"931","Bigtooth aspen",,"Bigtooth aspen","regeneration",,,,,"upl decid regen",,,,,
"932","Bigtooth aspen",,"Bigtooth aspen","regeneration",,,,,"upl decid regen",,,,,
"933","Bigtooth aspen",,"Bigtooth aspen","regeneration",,,,,"upl decid regen",,,,,
"934","Bigtooth aspen","ab pole","Bigtooth aspen","pole","pole","non-regen","upl","upl decid","upl decid","not conif","decid","decid","ab","ab"
"166","White spruce/Fir",,"White spruce/Fir","pole",,,,,"upl conif",,,,,
"167","White spruce/Fir",,"White spruce/Fir","saw",,,,,"upl conif",,,,,
"168","White spruce/Fir",,"White spruce/Fir","saw",,,,,"upl conif",,,,,
"169","White spruce/Fir",,"White spruce/Fir","saw",,,,,"upl conif",,,,,
"171","Upland black spruce","conif regen","Upland black spruce","regeneration","regen","regen","low","upl conif","upl conif regen","conif","conif","not decid","upl regen","not used"
"172","Upland black spruce","conif regen","Upland black spruce","regeneration","regen","regen","low","upl conif","upl conif regen","conif","conif","not decid","upl regen","not used"
"173","Upland black spruce","conif regen","Upland black spruce","regeneration","regen","regen","low","upl conif","upl conif regen","conif","conif","not decid","upl regen","not used"
"174","Upland black spruce",,"Upland black spruce","pole",,,,,"upl conif",,,,,
"175","Upland black spruce",,"Upland black spruce","pole",,,,,"upl conif",,,,,
"176","Upland black spruce",,"Upland black spruce","pole",,,,,"upl conif",,,,,
"177","Upland black spruce",,"Upland black spruce","saw",,,,,"upl conif",,,,,
"178","Upland black spruce",,"Upland black spruce","saw",,,,,"upl conif",,,,,
"179","Upland black spruce",,"Upland black spruce","saw",,,,,"upl conif",,,,,
"181","Mixed swamp conifer",,"Mixed swamp conifer","regeneration",,,,,"not used",,,,,
